AD,ED,borough_code,borough,ed_uid,neighborhood
74,057,MN,Manhattan,MN-AD74-ED057,Gramercy
74,058,MN,Manhattan,MN-AD74-ED058,Gramercy
74,059,MN,Manhattan,MN-AD74-ED059,Gramercy
74,060,MN,Manhattan,MN-AD74-ED060,Flatiron
74,061,MN,Manhattan,MN-AD74-ED061,Flatiron
74,062,MN,Manhattan,MN-AD74-ED062,Murray Hill
74,063,MN,Manhattan,MN-AD74-ED063,Flatiron
74,064,MN,Manhattan,MN-AD74-ED064,Murray Hill
74,065,MN,Manhattan,MN-AD74-ED065,Flatiron
74,066,MN,Manhattan,MN-AD74-ED066,Manhattan
74,067,MN,Manhattan,MN-AD74-ED067,Manhattan
74,068,MN,Manhattan,MN-AD74-ED068,Manhattan
74,069,MN,Manhattan,MN-AD74-ED069,Manhattan
74,070,MN,Manhattan,MN-AD74-ED070,Manhattan
75,001,MN,Manhattan,MN-AD75-ED001,Upper West Side
75,002,MN,Manhattan,MN-AD75-ED002,Upper West Side
75,003,MN,Manhattan,MN-AD75-ED003,Upper West Side
75,004,MN,Manhattan,MN-AD75-ED004,Upper West Side
75,005,MN,Manhattan,MN-AD75-ED005,Upper West Side
75,006,MN,Manhattan,MN-AD75-ED006,Upper West Side
75,007,MN,Manhattan,MN-AD75-ED007,Midtown
75,008,MN,Manhattan,MN-AD75-ED008,Upper West Side
75,009,MN,Manhattan,MN-AD75-ED009,Upper West Side
75,010,MN,Manhattan,MN-AD75-ED010,Upper West Side
75,011,MN,Manhattan,MN-AD75-ED011,Upper West Side
75,012,MN,Manhattan,MN-AD75-ED012,Midtown
75,013,MN,Manhattan,MN-AD75-ED013,Midtown
75,014,MN,Manhattan,MN-AD75-ED014,Midtown
75,015,MN,Manhattan,MN-AD75-ED015,Midtown South
75,016,MN,Manhattan,MN-AD75-ED016,Midtown South
75,017,MN,Manhattan,MN-AD75-ED017,Chelsea
75,018,MN,Manhattan,MN-AD75-ED018,Midtown South
75,019,MN,Manhattan,MN-AD75-ED019,Manhattan
75,020,MN,Manhattan,MN-AD75-ED020,Midtown South
75,021,MN,Manhattan,MN-AD75-ED021,Midtown South
75,022,MN,Manhattan,MN-AD75-ED022,Flatiron
75,023,MN,Manhattan,MN-AD75-ED023,Midtown South
75,024,MN,Manhattan,MN-AD75-ED024,Midtown South
75,025,MN,Manhattan,MN-AD75-ED025,Flatiron
75,026,MN,Manhattan,MN-AD75-ED026,Flatiron
75,027,MN,Manhattan,MN-AD75-ED027,Flatiron
75,028,MN,Manhattan,MN-AD75-ED028,Flatiron
75,029,MN,Manhattan,MN-AD75-ED029,Hell's Kitchen
75,030,MN,Manhattan,MN-AD75-ED030,Midtown
75,031,MN,Manhattan,MN-AD75-ED031,Hell's Kitchen
75,032,MN,Manhattan,MN-AD75-ED032,Hell's Kitchen
75,033,MN,Manhattan,MN-AD75-ED033,Hell's Kitchen
75,034,MN,Manhattan,MN-AD75-ED034,Hell's Kitchen
75,035,MN,Manhattan,MN-AD75-ED035,Midtown South
75,036,MN,Manhattan,MN-AD75-ED036,Midtown
75,037,MN,Manhattan,MN-AD75-ED037,Midtown South
75,038,MN,Manhattan,MN-AD75-ED038,Chelsea
75,039,MN,Manhattan,MN-AD75-ED039,Chelsea
75,040,MN,Manhattan,MN-AD75-ED040,Midtown South
